,1stFlrSF,2ndFlrSF,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,RoofStyle,SaleCondition,SaleType,ScreenPorch,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,YearBuilt,YrSold,HasGarage,GarageYearDiff,IsRemod,RemodYearDiff,SalePrice
10,1040,0,None,3,1Fam,TA,No,906.0,0.0,Rec,Unf,1.0,0.0,TA,134.0,Y,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,None,None,0,CBlock,1,Typ,384.0,1.0,TA,Unf,TA,Detchd,1040,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,11200,Inside,70.0,Reg,20,RL,0.0,None,None,2,Sawyer,0,5,5,Y,Hip,Normal,WD,0,5,1040.0,0,1965,2008,1,0.0,0,0,129500
11,1182,1142,None,4,1Fam,TA,No,998.0,0.0,GLQ,Unf,1.0,0.0,Ex,177.0,Y,Norm,SBrkr,0,TA,Ex,WdShing,Wd Shng,None,Gd,2,PConc,3,Typ,736.0,3.0,TA,Fin,TA,BuiltIn,2324,0,GasA,Ex,2Story,1,Ex,Lvl,Gtl,11924,Inside,85.0,IR1,60,RL,286.0,Stone,None,7,NridgHt,21,5,9,Y,Hip,Partial,New,0,11,1175.0,147,2005,2006,1,0.0,1,1,345000
12,912,0,None,2,1Fam,TA,No,737.0,0.0,ALQ,Unf,1.0,0.0,TA,175.0,Y,Norm,SBrkr,0,TA,TA,HdBoard,Plywood,None,None,0,CBlock,1,Typ,352.0,1.0,TA,Unf,TA,Detchd,912,0,GasA,TA,1Story,1,TA,Lvl,Gtl,12968,Inside,68.0,IR2,20,RL,0.0,None,None,9,Sawyer,0,6,5,Y,Hip,Normal,WD,176,4,912.0,140,1962,2008,1,0.0,0,0,144000
13,1494,0,None,3,1Fam,TA,Av,0.0,0.0,Unf,Unf,0.0,0.0,Gd,1494.0,Y,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,Gd,1,PConc,2,Typ,840.0,3.0,TA,RFn,TA,Attchd,1494,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,10652,Inside,91.0,IR1,20,RL,306.0,Stone,None,8,CollgCr,33,5,7,Y,Gable,Partial,New,0,7,1494.0,160,2006,2007,1,0.0,1,1,279500
14,1253,0,None,2,1Fam,TA,No,733.0,0.0,BLQ,Unf,1.0,0.0,TA,520.0,Y,Norm,SBrkr,176,TA,TA,MetalSd,MetalSd,GdWo,Fa,1,CBlock,1,Typ,352.0,1.0,TA,RFn,TA,Attchd,1253,1,GasA,TA,1Story,1,TA,Lvl,Gtl,10920,Corner,68.0,IR1,20,RL,212.0,BrkFace,None,5,NAmes,213,5,6,Y,Hip,Normal,WD,0,5,1253.0,0,1960,2008,1,0.0,0,0,157000
15,854,0,None,2,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,832.0,Y,Norm,FuseA,0,TA,TA,Wd Sdng,Wd Sdng,GdPrv,None,0,BrkTil,1,Typ,576.0,2.0,TA,Unf,TA,Detchd,854,0,GasA,Ex,1.5Unf,1,TA,Lvl,Gtl,6120,Corner,51.0,Reg,45,RM,0.0,None,None,7,BrkSide,112,8,7,Y,Gable,Normal,WD,0,5,832.0,48,1929,2007,1,62.0,1,72,132000
16,1004,0,None,2,1Fam,TA,No,578.0,0.0,ALQ,Unf,1.0,0.0,TA,426.0,Y,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,None,TA,1,CBlock,1,Typ,480.0,2.0,TA,Fin,TA,Attchd,1004,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,11241,CulDSac,68.0,IR1,20,RL,180.0,BrkFace,Shed,3,NAmes,0,7,6,Y,Gable,Normal,WD,0,5,1004.0,0,1970,2010,1,0.0,0,0,149000
17,1296,0,None,2,Duplex,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,0.0,Y,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,None,None,0,Slab,2,Typ,516.0,2.0,TA,Unf,TA,CarPort,1296,0,GasA,TA,1Story,2,TA,Lvl,Gtl,10791,Inside,72.0,Reg,90,RL,0.0,None,Shed,10,Sawyer,0,5,4,Y,Gable,Normal,WD,0,6,0.0,0,1967,2006,1,0.0,0,0,90000
18,1114,0,None,3,1Fam,TA,No,646.0,0.0,GLQ,Unf,1.0,0.0,TA,468.0,Y,RRAe,SBrkr,0,TA,TA,VinylSd,VinylSd,None,None,0,PConc,1,Typ,576.0,2.0,TA,Unf,TA,Detchd,1114,1,GasA,Ex,1Story,1,Gd,Lvl,Gtl,13695,Inside,66.0,Reg,20,RL,0.0,None,None,6,SawyerW,102,5,5,Y,Gable,Normal,WD,0,6,1114.0,0,2004,2008,1,0.0,0,0,159000
19,1339,0,None,3,1Fam,TA,No,504.0,0.0,LwQ,Unf,0.0,0.0,TA,525.0,Y,Norm,SBrkr,0,TA,TA,BrkFace,Plywood,MnPrv,None,0,CBlock,1,Min1,294.0,1.0,TA,Unf,TA,Attchd,1339,0,GasA,TA,1Story,1,TA,Lvl,Gtl,7560,Inside,70.0,Reg,20,RL,0.0,None,None,5,NAmes,0,6,5,Y,Hip,Abnorml,COD,0,6,1029.0,0,1958,2009,1,0.0,1,7,139000
20,1158,1218,None,4,1Fam,TA,Av,0.0,0.0,Unf,Unf,0.0,0.0,Ex,1158.0,Y,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,Gd,1,PConc,3,Typ,853.0,3.0,TA,RFn,TA,BuiltIn,2376,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,14215,Corner,101.0,IR1,60,RL,380.0,BrkFace,None,11,NridgHt,154,5,8,Y,Gable,Partial,New,0,9,1158.0,240,2005,2006,1,0.0,1,1,325300
21,1108,0,Grvl,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,637.0,Y,Norm,FuseF,205,TA,TA,Wd Sdng,Wd Sdng,GdPrv,Gd,1,PConc,1,Typ,280.0,1.0,TA,Unf,TA,Attchd,1108,0,GasA,Ex,1.5Unf,1,Gd,Bnk,Gtl,7449,Inside,57.0,Reg,45,RM,0.0,None,None,6,IDOTRR,0,7,7,N,Gable,Normal,WD,0,6,637.0,0,1930,2007,1,0.0,1,20,139400
22,1795,0,None,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,Gd,1777.0,Y,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,Gd,1,PConc,2,Typ,534.0,2.0,TA,RFn,TA,Attchd,1795,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,9742,Inside,75.0,Reg,20,RL,281.0,BrkFace,None,9,CollgCr,159,5,8,Y,Hip,Normal,WD,0,7,1777.0,171,2002,2008,1,0.0,0,0,230000
23,1060,0,None,3,TwnhsE,TA,No,840.0,0.0,GLQ,Unf,1.0,0.0,Gd,200.0,Y,Norm,SBrkr,0,TA,TA,CemntBd,CmentBd,None,TA,1,PConc,1,Typ,572.0,2.0,TA,Unf,TA,Attchd,1060,0,GasA,TA,1Story,1,TA,Lvl,Gtl,4224,Inside,44.0,Reg,120,RM,0.0,None,None,6,MeadowV,110,7,5,Y,Gable,Normal,WD,0,6,1040.0,100,1976,2007,1,0.0,0,0,129900
24,1060,0,None,3,1Fam,TA,Mn,188.0,668.0,Rec,ALQ,1.0,0.0,TA,204.0,Y,Norm,SBrkr,0,Gd,TA,Plywood,Plywood,MnPrv,TA,1,CBlock,1,Typ,270.0,1.0,TA,Unf,TA,Attchd,1060,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,8246,Inside,68.0,IR1,20,RL,0.0,None,None,5,Sawyer,90,8,5,Y,Gable,Normal,WD,0,6,1060.0,406,1968,2010,1,0.0,1,33,154000
25,1600,0,None,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,Gd,1566.0,Y,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,Gd,1,PConc,2,Typ,890.0,3.0,TA,RFn,TA,Attchd,1600,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,14230,Corner,110.0,Reg,20,RL,640.0,Stone,None,7,NridgHt,56,5,8,Y,Gable,Normal,WD,0,7,1566.0,0,2007,2009,1,0.0,0,0,256300
26,900,0,None,3,1Fam,TA,Mn,234.0,486.0,BLQ,Rec,0.0,1.0,TA,180.0,Y,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,None,None,0,CBlock,1,Typ,576.0,2.0,TA,Unf,TA,Detchd,900,0,GasA,TA,1Story,1,Gd,Lvl,Gtl,7200,Corner,60.0,Reg,20,RL,0.0,None,None,5,NAmes,32,7,5,Y,Gable,Normal,WD,0,5,900.0,222,1951,2010,1,54.0,1,49,134800
27,1704,0,None,3,1Fam,TA,No,1218.0,0.0,GLQ,Unf,1.0,0.0,Ex,486.0,Y,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,Gd,1,PConc,2,Typ,772.0,3.0,TA,RFn,TA,Attchd,1704,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,11478,Inside,98.0,Reg,20,RL,200.0,Stone,None,5,NridgHt,50,5,8,Y,Gable,Normal,WD,0,7,1704.0,0,2007,2010,1,1.0,1,1,306000
28,1600,0,None,2,1Fam,TA,Gd,1277.0,0.0,BLQ,Unf,1.0,0.0,TA,207.0,Y,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,None,Gd,2,CBlock,1,Typ,319.0,1.0,TA,RFn,TA,Attchd,1600,0,GasA,TA,1Story,1,TA,Lvl,Gtl,16321,CulDSac,47.0,IR1,20,RL,0.0,None,None,12,NAmes,258,6,5,Y,Gable,Normal,WD,0,6,1484.0,288,1957,2006,1,0.0,1,40,207500
29,520,0,None,1,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,520.0,N,Feedr,SBrkr,87,TA,TA,MetalSd,MetalSd,None,None,0,BrkTil,1,Typ,240.0,1.0,TA,Unf,Fa,Detchd,520,0,GasA,Fa,1Story,1,Fa,Lvl,Gtl,6324,Inside,60.0,IR1,30,RM,0.0,None,None,5,BrkSide,0,6,4,Y,Gable,Normal,WD,0,4,520.0,49,1927,2008,1,0.0,1,23,68500
30,649,668,Pave,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,649.0,N,Feedr,SBrkr,172,Fa,TA,BrkFace,BrkFace,MnPrv,None,0,BrkTil,1,Typ,250.0,1.0,Fa,Unf,TA,Detchd,1317,0,GasA,TA,2Story,1,TA,Lvl,Gtl,8500,Inside,50.0,Reg,70,C (all),0.0,None,None,7,IDOTRR,54,4,4,N,Gambrel,Normal,WD,0,6,649.0,0,1920,2008,1,0.0,1,30,40000
31,1228,0,None,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,1228.0,Y,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,MnPrv,None,0,CBlock,1,Typ,271.0,1.0,TA,Unf,TA,Attchd,1228,1,GasA,Gd,1Story,1,Gd,Lvl,Gtl,8544,CulDSac,68.0,IR1,20,RL,0.0,None,None,6,Sawyer,65,6,5,Y,Gable,Normal,WD,0,6,1228.0,0,1966,2008,1,0.0,1,40,149350
32,1234,0,None,3,1Fam,TA,Av,0.0,0.0,Unf,Unf,0.0,0.0,Ex,1234.0,Y,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,None,0,PConc,2,Typ,484.0,2.0,TA,RFn,TA,Attchd,1234,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,11049,Corner,85.0,Reg,20,RL,0.0,None,None,1,CollgCr,30,5,8,Y,Gable,Normal,WD,0,7,1234.0,0,2007,2008,1,0.0,0,0,179900
33,1700,0,None,4,1Fam,TA,No,1018.0,0.0,Rec,Unf,0.0,1.0,TA,380.0,Y,Norm,SBrkr,0,TA,TA,BrkFace,BrkFace,None,Gd,1,CBlock,1,Typ,447.0,2.0,TA,RFn,TA,Attchd,1700,1,GasA,Gd,1Story,1,Gd,Lvl,Gtl,10552,Inside,70.0,IR1,20,RL,0.0,None,None,4,NAmes,38,5,5,Y,Hip,Normal,WD,0,6,1398.0,0,1959,2010,1,0.0,0,0,165500
34,1561,0,None,2,TwnhsE,TA,No,1153.0,0.0,GLQ,Unf,1.0,0.0,Ex,408.0,Y,Norm,SBrkr,0,TA,Ex,MetalSd,MetalSd,None,Gd,1,PConc,2,Typ,556.0,2.0,TA,Fin,TA,Attchd,1561,0,GasA,Ex,1Story,1,Ex,Lvl,Gtl,7313,Inside,60.0,Reg,120,RL,246.0,BrkFace,None,8,NridgHt,47,5,9,Y,Hip,Normal,WD,0,6,1561.0,203,2005,2007,1,0.0,0,0,277500
35,1132,1320,None,4,1Fam,TA,Av,0.0,0.0,Unf,Unf,0.0,0.0,Ex,1117.0,Y,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,Gd,1,PConc,3,Typ,691.0,3.0,TA,Fin,TA,BuiltIn,2452,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,13418,Inside,108.0,Reg,60,RL,132.0,Stone,None,9,NridgHt,32,5,8,Y,Gable,Normal,WD,0,9,1117.0,113,2004,2006,1,0.0,1,1,309000
36,1097,0,None,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,Gd,1097.0,Y,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,None,None,0,PConc,1,Typ,672.0,2.0,TA,Unf,TA,Attchd,1097,1,GasA,Ex,1Story,1,TA,Lvl,Gtl,10859,Corner,112.0,Reg,20,RL,0.0,None,None,6,CollgCr,64,5,5,Y,Gable,Normal,WD,0,6,1097.0,392,1994,2009,1,1.0,1,1,145000
37,1297,0,None,3,1Fam,TA,No,1213.0,0.0,Rec,Unf,0.0,1.0,TA,84.0,Y,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,None,TA,1,CBlock,1,Typ,498.0,2.0,TA,Fin,TA,Attchd,1297,0,GasA,Gd,1Story,1,TA,Lvl,Gtl,8532,Inside,74.0,Reg,20,RL,650.0,BrkFace,None,10,NAmes,0,6,5,Y,Hip,Normal,WD,0,5,1297.0,0,1954,2009,1,0.0,1,36,153000
38,1057,0,None,3,1Fam,TA,No,731.0,0.0,GLQ,Unf,1.0,0.0,TA,326.0,Y,Norm,SBrkr,0,Gd,TA,VinylSd,VinylSd,None,None,0,CBlock,1,Typ,246.0,1.0,TA,Unf,TA,Detchd,1057,0,GasA,TA,1Story,1,Gd,Lvl,Gtl,7922,Inside,68.0,Reg,20,RL,0.0,None,None,1,NAmes,52,7,5,Y,Gable,Abnorml,WD,0,5,1057.0,0,1953,2010,1,0.0,1,54,109000
39,1152,0,None,2,Duplex,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,0.0,N,Norm,FuseP,0,TA,TA,AsbShng,Plywood,None,None,0,PConc,2,Typ,0.0,0.0,None,None,None,None,1152,0,GasA,TA,1Story,2,Fa,Lvl,Gtl,6040,Inside,65.0,Reg,90,RL,0.0,None,None,6,Edwards,0,5,4,N,Gable,AdjLand,WD,0,6,0.0,0,1955,2008,0,0.0,0,0,82000
40,1324,0,None,3,1Fam,TA,No,643.0,0.0,Rec,Unf,0.0,0.0,TA,445.0,Y,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,GdWo,TA,1,CBlock,2,Typ,440.0,2.0,TA,RFn,TA,Attchd,1324,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,8658,Inside,84.0,Reg,20,RL,101.0,BrkFace,None,12,NAmes,138,5,6,Y,Gable,Abnorml,WD,0,6,1088.0,0,1965,2006,1,0.0,0,0,160000
41,1328,0,None,2,1Fam,TA,Gd,967.0,0.0,BLQ,Unf,0.0,1.0,TA,383.0,Y,Norm,SBrkr,0,Gd,TA,VinylSd,VinylSd,None,Gd,2,CBlock,1,Typ,308.0,1.0,TA,RFn,TA,Attchd,1328,1,GasA,Gd,1Story,1,TA,Lvl,Gtl,16905,Inside,115.0,Reg,20,RL,0.0,None,None,7,Timber,104,6,5,P,Gable,Normal,WD,0,5,1350.0,0,1959,2007,1,0.0,0,0,170000
42,884,0,None,2,1Fam,TA,Av,747.0,93.0,ALQ,LwQ,1.0,0.0,Gd,0.0,Y,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,MnPrv,None,0,CBlock,1,Typ,504.0,2.0,Gd,RFn,TA,Attchd,884,0,GasA,Gd,SFoyer,1,Gd,Lvl,Gtl,9180,CulDSac,68.0,IR1,85,RL,0.0,None,None,12,SawyerW,0,7,5,Y,Gable,Normal,WD,0,5,840.0,240,1983,2007,1,0.0,0,0,144000
43,938,0,None,3,1Fam,TA,Av,280.0,491.0,LwQ,BLQ,1.0,0.0,Gd,167.0,Y,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,MnPrv,None,0,CBlock,1,Typ,308.0,1.0,TA,Unf,TA,Detchd,938,0,GasA,TA,1Story,1,TA,Lvl,Gtl,9200,CulDSac,68.0,IR1,20,RL,0.0,None,None,7,CollgCr,0,6,5,Y,Hip,Normal,WD,0,5,938.0,145,1975,2008,1,2.0,1,5,130250
44,1150,0,None,3,1Fam,TA,No,179.0,506.0,ALQ,BLQ,1.0,0.0,TA,465.0,Y,Norm,FuseA,0,TA,TA,BrkFace,Wd Sdng,None,None,0,CBlock,1,Typ,300.0,1.0,TA,RFn,TA,Attchd,1150,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,7945,Inside,70.0,Reg,20,RL,0.0,None,None,5,NAmes,0,6,5,Y,Gable,Normal,WD,0,6,1150.0,0,1959,2006,1,0.0,0,0,141000
45,1752,0,None,2,TwnhsE,TA,No,456.0,0.0,GLQ,Unf,1.0,0.0,Ex,1296.0,Y,Norm,SBrkr,0,TA,Ex,MetalSd,MetalSd,None,Gd,1,PConc,2,Typ,576.0,2.0,TA,RFn,TA,Attchd,1752,0,GasA,Ex,1Story,1,Ex,Lvl,Gtl,7658,Inside,61.0,Reg,120,RL,412.0,BrkFace,None,2,NridgHt,82,5,9,Y,Hip,Normal,WD,0,6,1752.0,196,2005,2010,1,0.0,0,0,319900
46,1518,631,None,1,1Fam,TA,No,1351.0,0.0,GLQ,Unf,1.0,0.0,Ex,83.0,Y,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,Ex,1,PConc,1,Typ,670.0,2.0,TA,RFn,TA,Attchd,2149,1,GasA,Ex,1.5Fin,1,Gd,Lvl,Gtl,12822,CulDSac,48.0,IR1,50,RL,0.0,None,None,8,Mitchel,43,5,7,Y,Gable,Abnorml,WD,198,6,1434.0,168,2003,2009,1,0.0,0,0,239686
47,1656,0,None,3,1Fam,TA,Av,24.0,0.0,GLQ,Unf,0.0,0.0,Gd,1632.0,Y,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,None,0,PConc,2,Typ,826.0,3.0,TA,RFn,TA,Attchd,1656,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,11096,Inside,84.0,Reg,20,FV,0.0,None,None,7,Somerst,146,5,8,Y,Gable,Normal,WD,0,7,1656.0,0,2006,2007,1,0.0,0,0,249700
48,736,716,None,2,2fmCon,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,736.0,Y,Norm,SBrkr,102,TA,TA,MetalSd,MetalSd,None,None,0,BrkTil,2,Typ,0.0,0.0,None,None,None,None,1452,0,GasA,Gd,2Story,3,TA,Lvl,Gtl,4456,Inside,33.0,Reg,190,RM,0.0,None,None,6,OldTown,0,5,4,N,Gable,Partial,New,0,8,736.0,0,1920,2009,0,0.0,1,88,113000
49,955,0,None,3,1Fam,TA,No,763.0,0.0,BLQ,Unf,1.0,0.0,TA,192.0,Y,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,MnPrv,None,0,CBlock,1,Typ,386.0,1.0,TA,Unf,TA,Attchd,955,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,7742,Inside,66.0,Reg,20,RL,0.0,None,None,1,Sawyer,0,7,5,Y,Gable,Normal,WD,0,6,955.0,0,1966,2007,1,0.0,0,0,127000
50,794,676,None,3,1Fam,TA,Av,182.0,0.0,GLQ,Unf,0.0,1.0,Gd,612.0,Y,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,None,None,0,PConc,2,Typ,388.0,2.0,TA,Fin,TA,Attchd,1470,0,GasA,Gd,2Story,1,TA,Lvl,Gtl,13869,Corner,68.0,IR2,60,RL,0.0,None,None,7,Gilbert,75,6,6,Y,Gable,Normal,WD,0,6,794.0,0,1997,2007,1,0.0,0,0,177000
51,816,0,None,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,816.0,Y,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,MnPrv,Gd,1,PConc,1,Typ,528.0,2.0,TA,Unf,TA,Detchd,1176,0,GasA,TA,1.5Fin,1,TA,Lvl,Gtl,6240,Inside,52.0,Reg,50,RM,0.0,None,Shed,9,BrkSide,0,6,6,Y,Gable,Normal,WD,0,6,816.0,112,1934,2006,1,51.0,1,16,114500
